y,x,street_count,highway,longitude,latitude
12.9460158,77.6186662,3,nan,77.6186662,12.9460158
12.9412556,77.6241534,3,nan,77.6241534,12.9412556
12.944154,77.620952,3,nan,77.620952,12.944154
12.9300545,77.6331602,3,nan,77.6331602,12.9300545
12.9331391,77.6310058,3,nan,77.6310058,12.9331391
12.935128,77.6290489,3,nan,77.6290489,12.935128
12.9306743,77.6289732,4,nan,77.6289732,12.9306743
12.9285912,77.6290605,3,nan,77.6290605,12.9285912
12.9273383,77.6256948,4,nan,77.6256948,12.9273383
12.9261625,77.6286758,3,nan,77.6286758,12.9261625
12.9270524,77.6264198,3,nan,77.6264198,12.9270524
12.9255601,77.6335759,3,nan,77.6335759,12.9255601
12.9258691,77.6374913,3,nan,77.6374913,12.9258691
12.9265195,77.6277708,3,nan,77.6277708,12.9265195
12.9286816,77.6280862,3,nan,77.6280862,12.9286816
12.9286343,77.6285962,3,nan,77.6285962,12.9286343
12.9312415,77.6231979,3,nan,77.6231979,12.9312415
12.9306064,77.6248423,3,nan,77.6248423,12.9306064
12.9305619,77.6255487,3,nan,77.6255487,12.9305619
12.9303496,77.6276105,3,nan,77.6276105,12.9303496
12.926351,77.6281978,3,nan,77.6281978,12.926351
12.9287781,77.6270468,3,nan,77.6270468,12.9287781
12.9304478,77.6268215,3,nan,77.6268215,12.9304478
12.9280436,77.6239069,3,nan,77.6239069,12.9280436
12.9405075,77.6202253,4,traffic_signals,77.6202253,12.9405075
12.9367994,77.6274193,3,nan,77.6274193,12.9367994
12.934835,77.6249936,3,nan,77.6249936,12.934835
12.926076,77.6366314,4,nan,77.6366314,12.926076
12.9260188,77.6370147,4,nan,77.6370147,12.9260188
12.9314922,77.6226225,4,traffic_signals,77.6226225,12.9314922
12.9273784,77.6236662,3,nan,77.6236662,12.9273784
12.9253689,77.6285472,3,nan,77.6285472,12.9253689
12.9278704,77.6258862,3,nan,77.6258862,12.9278704
12.9285949,77.6241075,4,nan,77.6241075,12.9285949
12.9283574,77.6246886,3,nan,77.6246886,12.9283574
12.9305132,77.6261452,3,nan,77.6261452,12.9305132
12.9292697,77.6243495,3,nan,77.6243495,12.9292697
12.9302411,77.6221345,3,nan,77.6221345,12.9302411
12.9300109,77.6226739,3,nan,77.6226739,12.9300109
12.9308195,77.6230182,3,nan,77.6230182,12.9308195
12.9301442,77.6246592,3,nan,77.6246592,12.9301442
12.9304106,77.6228441,3,nan,77.6228441,12.9304106
12.9297154,77.624524,3,nan,77.624524,12.9297154
12.9281225,77.6252634,3,nan,77.6252634,12.9281225
12.9287827,77.6236481,3,nan,77.6236481,12.9287827
12.9289887,77.623144,3,nan,77.623144,12.9289887
12.9275558,77.6225672,3,nan,77.6225672,12.9275558
12.9280664,77.6227726,3,nan,77.6227726,12.9280664
12.9285868,77.6214602,3,nan,77.6214602,12.9285868
12.9284829,77.6229401,3,nan,77.6229401,12.9284829
12.9368612,77.6265291,3,nan,77.6265291,12.9368612
12.9364379,77.6269037,3,nan,77.6269037,12.9364379
12.9355998,77.627704,3,nan,77.627704,12.9355998
12.932879,77.6275691,3,nan,77.6275691,12.932879
12.9342129,77.6260096,3,nan,77.6260096,12.9342129
12.9338436,77.6266153,3,nan,77.6266153,12.9338436
12.9353985,77.6287871,4,nan,77.6287871,12.9353985
12.9350341,77.6269449,3,nan,77.6269449,12.9350341
12.9352401,77.6266654,3,nan,77.6266654,12.9352401
12.9360846,77.6255428,3,nan,77.6255428,12.9360846
12.9354211,77.625671,3,nan,77.625671,12.9354211
12.9348251,77.6266872,3,nan,77.6266872,12.9348251
12.9351662,77.6253582,3,nan,77.6253582,12.9351662
12.934548,77.6263648,3,nan,77.6263648,12.934548
12.9350477,77.6282361,3,nan,77.6282361,12.9350477
12.9340363,77.6290958,4,nan,77.6290958,12.9340363
12.9348678,77.6279905,3,nan,77.6279905,12.9348678
12.933861,77.6288446,3,nan,77.6288446,12.933861
12.9341813,77.6270532,3,nan,77.6270532,12.9341813
12.93349,77.6276834,3,nan,77.6276834,12.93349
12.9331537,77.6279317,3,nan,77.6279317,12.9331537
12.9339472,77.6272783,3,nan,77.6272783,12.9339472
12.9346018,77.628223,3,nan,77.628223,12.9346018
12.9337214,77.6274834,3,nan,77.6274834,12.9337214
12.9343774,77.628415,3,nan,77.628415,12.9343774
