osmid,highway,oneway,reversed,length,lanes,name,width,est_width,bridge,maxspeed,access,longitude,latitude
1251954787,residential,False,True,14.762,nan,nan,nan,nan,nan,nan,nan,77.6185993,12.94602825
1251954790,secondary,True,False,7.778,2,Srinivagilu Main Road,nan,nan,nan,nan,nan,77.6186721,12.9459813
28186784,tertiary,False,False,8.726,2,18th Main Road,nan,nan,nan,nan,nan,77.6241222,12.9412308
1155064213,secondary,True,False,46.716,2,Srinivagilu Main Road,24.38,nan,nan,nan,nan,77.62430268339709,12.941104083592382
213065291,residential,False,False,8.194,nan,nan,nan,nan,nan,nan,nan,77.6209269,12.944126449999999
1251954786,secondary,True,False,261.284,2,Srinivagilu Main Road,nan,nan,nan,nan,nan,77.62184786148376,12.94336834270642
338161623,residential,False,True,29.380000000000003,nan,7th Main Road,nan,nan,nan,nan,nan,77.63329324427721,12.930079136905498
1110190684,secondary,True,False,20.237000000000002,2,80 Feet Road,24.38,nan,nan,nan,nan,77.63316891389607,12.92996389855296
1307224534,secondary_link,False,False,9.644,nan,10th Main Road,nan,nan,nan,nan,nan,77.63097495,12.933107849999999
133903616,secondary,True,False,336.221,2,80 Feet Road,nan,nan,nan,nan,nan,77.63207276531858,12.932052017443082
133903616,secondary,True,False,42.92,2,80 Feet Road,nan,nan,nan,nan,nan,77.62918590000001,12.934988650000001
111996868,residential,False,True,73.129,nan,Green Leaf Layout,nan,nan,nan,nan,nan,77.62936924892242,12.935231203344129
27785799,residential,False,False,45.299,nan,1st Cross Road,nan,nan,nan,nan,nan,77.62917924999999,12.93064025
27785799,residential,False,True,62.743,nan,1st Cross Road,nan,nan,nan,nan,nan,77.6286887,12.93072635
1159872650,tertiary,False,False,79.105,2,8th Main Road,nan,6.1,nan,nan,nan,77.6291038,12.930342149999998
1159872650,tertiary,False,True,262.564,2,8th Main Road,nan,6.1,nan,nan,nan,77.62841362759842,12.931716839960107
24431113,residential,False,True,50.547,nan,nan,nan,nan,nan,nan,nan,77.62882834999999,12.92861275
1159872650,tertiary,False,False,32.662,2,8th Main Road,nan,6.1,nan,nan,nan,77.62903685,12.92844615
1159872650,tertiary,False,True,109.134,2,8th Main Road,nan,6.1,nan,nan,nan,77.62912924776586,12.92907730046652
24299075,residential,False,False,209.036,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62480085,12.92769095
